+----------+-------+------------------+------------------+---------+---------+
|      Time|  Value|No_of_Observations|          Roll_Sum|Min_value|Max_value|
+----------+-------+------------------+------------------+---------+---------+
|1355270609|1.80215|                 1|           1.80215|  1.80215|  1.80215|
|1355270621|1.80185|                 2|             3.604|  1.80185|  1.80185|
|1355270646|1.80195|                 3|3.6037999999999997|  1.80185|  1.80185|
|1355270702|1.80225|                 1|3.6041999999999996|  1.80195|  1.80195|
|1355270702|1.80215|                 2|            3.6044|  1.80215|  1.80215|
|1355270829|1.80235|                 1|           1.80235|  1.80215|  1.80215|
|1355270854|1.80205|                 1|            3.6044|  1.80205|  1.80205|
|1355270868|1.80225|                 2|            3.6043|  1.80205|  1.80205|
|1355271000|1.80245|                 1|           1.80245|  1.80225|  1.80225|
|1355271023|1.80285|                 1|            3.6053|  1.80245|  1.80245|
|1355271024|1.80275|                 2|            3.6056|  1.80275|  1.80275|
|1355271026|1.80285|                 3|            3.6056|  1.80275|  1.80275|
|1355271027|1.80265|                 4|            3.6055|  1.80265|  1.80265|
|1355271056|1.80275|                 5|3.6054000000000004|  1.80265|  1.80265|
|1355271428|1.80265|                 1|           1.80265|  1.80265|  1.80265|
|1355271466|1.80275|                 1|3.6054000000000004|  1.80265|  1.80265|
|1355271471|1.80295|                 2|            3.6057|  1.80275|  1.80275|
|1355271507|1.80265|                 3|            3.6056|  1.80265|  1.80265|
|1355271562|1.80275|                 1|3.6054000000000004|  1.80265|  1.80265|
|1355271588|1.80295|                 1|            3.6057|  1.80275|  1.80275|
|1355271703|1.80265|                 1|           1.80265|  1.80265|  1.80265|
|1355271703|1.80275|                 1|3.6054000000000004|  1.80265|  1.80265|
|1355271707|1.80265|                 2|3.6054000000000004|  1.80265|  1.80265|
|1355271715|1.80285|                 3|            3.6055|  1.80265|  1.80265|
|1355271741|1.80305|                 4|            3.6059|  1.80285|  1.80285|
|1355271770|1.80265|                 5|            3.6057|  1.80265|  1.80265|
|1355271781|1.80285|                 6|            3.6055|  1.80265|  1.80265|
|1355271782|1.80265|                 7|            3.6055|  1.80265|  1.80265|
|1355271795|1.80275|                 8|3.6054000000000004|  1.80265|  1.80265|
|1355271796|1.80295|                 9|            3.6057|  1.80275|  1.80275|
|1355271836|1.80275|                10|            3.6057|  1.80275|  1.80275|
|1355271882|1.80295|                 1|            3.6057|  1.80275|  1.80275|
|1355271953|1.80275|                 1|           1.80275|  1.80275|  1.80275|
|1355272046|1.80285|                 1|           1.80285|  1.80275|  1.80275|
|1355272074|1.80275|                 1|            3.6056|  1.80275|  1.80275|
|1355272124|1.80245|                 1|            3.6052|  1.80245|  1.80245|
|1355272179|1.80265|                 1|            3.6051|  1.80245|  1.80245|
|1355272280|1.80235|                 1|           1.80235|  1.80235|  1.80235|
|1355272281|1.80245|                 1|            3.6048|  1.80235|  1.80235|
|1355272313|1.80235|                 2|            3.6048|  1.80235|  1.80235|
+----------+-------+------------------+------------------+---------+---------+
only showing top 40 rows
